,Price,author,bookName,peapleNum,pubTime,publishing,score,level,hotlevel
122,39.00元,陈忠实,白鹿原,21895,2012-9,人民文学出版社,9.1,A,B
123,58.00元,[英] J. K. 罗琳,哈利·波特与混血王子,85074,2005-10,人民文学出版社,8.8,B,A
124,15.00元,[英] 毛姆,月亮和六便士,97166,2006-8,上海译文出版社,9.0,B,A
125,22.00元,刘慈欣,球状闪电,38011,2005-6,四川科学技术出版社,8.7,B,A
126,76.80元,金庸,笑傲江湖（全四册）,66976,1994-5,生活·读书·新知三联书店,9.0,B,A
127,45.00元,[法] 阿尔贝·加缪,局外人,4521,2019-3,江苏凤凰文艺出版社,8.9,B,D
128,49.80,[美] 安东尼·马拉,我们一无所有,2423,2018-2,江苏凤凰文艺出版社,8.8,B,D
129,76.80元,金庸,神雕侠侣,60585,1994-5,生活·读书·新知三联书店,8.9,B,A
130,22.0,阿来,尘埃落定,39963,1998-3-1,人民文学出版社,8.4,B,A
131,25.00元,[日] 村上春树,海边的卡夫卡,76070,2003-4,上海译文出版社,8.1,B,A
132,39.80元,鲁迅,狂人日记,34085,2006-3,京华出版社,8.7,B,A
133,16.00元,余华,兄弟（上）,71561,2005-8,上海文艺出版社,8.3,B,A
134,49.50元,[日] 伊坂幸太郎,金色梦乡,15158,2016-11,南海出版公司,8.9,B,B
135,39.50元,[日] 东野圭吾,恶意,18236,2016-11-1,南海出版公司,8.7,B,B
136,58.00元,[美] 伊丽莎白·斯特劳特,奥丽芙·基特里奇,270,2019-3-25,南海出版公司,9.0,B,E
137,98.00元,[日] 村上春树,刺杀骑士团长,17984,2018-3,上海译文出版社,7.5,B,B
138,36.00元,刘慈欣,乡村教师,9356,2012-9-1,长江文艺出版社,8.5,B,C
139,18.00元,[美] 海莲·汉芙,查令十字街84号,41071,2005-05-01,译林出版社,8.3,B,A
140,35.00元,严歌苓,陆犯焉识,31292,2011-10,作家出版社,8.8,B,A
141,79.80,[美]埃默·托尔斯,莫斯科绅士,2217,2018-6,博集天卷 | 湖南文艺出版社,8.8,B,D
142,23.80元,桐华,那些回不去的年少时光,38530,2010-01,江苏文艺出版社,8.4,B,A
143,20.00元,[法] 司汤达,红与黑,35015,2002,人民文学出版社,8.2,B,A
144,36.80元,[日] 是枝裕和,步履不停,16836,2017-5,北京联合出版公司,8.7,B,B
